job_title,job_detail_url,job_listed,company_name,company_link,company_location
Développeur Python H/F,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-at-enosi-rh-3971385171?refId=9rVHgcFkUa%2BF8ZhBGgow7A%3D%3D&trackingId=VnaLUpIbjpRvyxR91ZKjrQ%3D%3D&position=21&pageNum=5&trk=public_jobs_jserp-result_search-card,3 days ago,Enosi RH,https://fr.linkedin.com/company/enosirh?trk=public_jobs_jserp-result_job-search-card-subtitle,"Capinghem, Hauts-de-France, France"
DÉVELOPPEUR PYTHON F/H - Informatique de gestion (H/F),https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-f-h-informatique-de-gestion-h-f-at-ikiga%C3%AF-3967937574?refId=9rVHgcFkUa%2BF8ZhBGgow7A%3D%3D&trackingId=MvX6nmZxc%2ByoSUZkIv96xQ%3D%3D&position=22&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,IKIGAÏ,https://fr.linkedin.com/company/ikiga%C3%AF-groupe?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Lyon Area
Junior Backend Engineer - ProcessOut,https://fr.linkedin.com/jobs/view/junior-backend-engineer-processout-at-lesjeudis-3974357615?refId=9rVHgcFkUa%2BF8ZhBGgow7A%3D%3D&trackingId=PdkR6WXh91%2FsFnC02zG9pg%3D%3D&position=23&pageNum=5&trk=public_jobs_jserp-result_search-card,7 hours ago,LesJeudis,https://fr.linkedin.com/company/lesjeudis.com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
"Développeur Python, AWS (H/F)",https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-aws-h-f-at-ciorane-3974901956?refId=9rVHgcFkUa%2BF8ZhBGgow7A%3D%3D&trackingId=BhUm5MOtgBOTh1BMtTrRDg%3D%3D&position=24&pageNum=5&trk=public_jobs_jserp-result_search-card,22 hours ago,Ciorane,https://fr.linkedin.com/company/ciorane?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lyon, Auvergne-Rhône-Alpes, France"
Research Engineer,https://fr.linkedin.com/jobs/view/research-engineer-at-crmn-lyon-3973606644?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=meZ%2BSbZCH0a%2FfhkgvpQbsA%3D%3D&position=1&pageNum=6&trk=public_jobs_jserp-result_search-card,10 hours ago,CRMN Lyon,https://fr.linkedin.com/company/crmn-lyon?trk=public_jobs_jserp-result_job-search-card-subtitle,"Villeurbanne, Auvergne-Rhône-Alpes, France"
Business Analyst (MOA) Profils expérimentés H/F,https://fr.linkedin.com/jobs/view/business-analyst-moa-profils-exp%C3%A9riment%C3%A9s-h-f-at-lcl-3972608246?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=MD0xzvokWUXwOdePcDUqRw%3D%3D&position=2&pageNum=6&trk=public_jobs_jserp-result_search-card,1 day ago,LCL,https://fr.linkedin.com/company/lcl?trk=public_jobs_jserp-result_job-search-card-subtitle,"Villejuif, Île-de-France, France"
Data Engineer (H/F),https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-sidetrade-3972375659?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=HAgRk%2BYxH6KOYcw1JCU1Ew%3D%3D&position=3&pageNum=6&trk=public_jobs_jserp-result_search-card,1 day ago,Sidetrade,https://fr.linkedin.com/company/sidetrade?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boulogne-Billancourt, Île-de-France, France"
Software Fullstack Engineer (Python Django / React) pour une Start-up du RSE / ESG / GreenTech (Full remote - based in France),https://fr.linkedin.com/jobs/view/software-fullstack-engineer-python-django-react-pour-une-start-up-du-rse-esg-greentech-full-remote-based-in-france-at-youmanista-3969508785?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=tXyzDdu63iGBaC6mTtl01w%3D%3D&position=4&pageNum=6&trk=public_jobs_jserp-result_search-card,2 days ago,Youmanista,https://fr.linkedin.com/company/youmanista?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
Artificial Intelligence Engineer,https://fr.linkedin.com/jobs/view/artificial-intelligence-engineer-at-cephalgo-3971531979?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=yxg1stVVO7VfnPwx%2FqrChQ%3D%3D&position=5&pageNum=6&trk=public_jobs_jserp-result_search-card,2 days ago,Cephalgo,https://fr.linkedin.com/company/cephalgo?trk=public_jobs_jserp-result_job-search-card-subtitle,France
Software Engineer Scientific Engine (Python) - CDI,https://fr.linkedin.com/jobs/view/software-engineer-scientific-engine-python-cdi-at-descartes-underwriting-3767095936?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=CMGG9v8bW8B9i01f4a3gKQ%3D%3D&position=6&pageNum=6&trk=public_jobs_jserp-result_search-card,7 months ago,Descartes Underwriting,https://fr.linkedin.com/company/descartesunderwriting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
